id,latitude,longitude,neighbourhood_cleansed,accommodates,bedrooms,beds,bathrooms,review_scores_rating,number_of_reviews,host_listings_count,amenities_count,host_tenure_days,has_picture,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,occupancy_rate_mean,target_price
774890533736849094,42.360798857003445,-71.06740890836511,Beacon Hill,3,1.0,1.0,1.0,5.0,10,280.0,26,1821.0,1,True,False,False,False,0.35342465753424657,130.0
775261963711450110,42.3522851,-71.05910879999999,Chinatown,2,1.0,,,,0,5084.0,31,3233.0,1,True,False,False,False,0.2684931506849315,
775659358800865129,42.35927181161496,-71.06496319938758,Beacon Hill,4,3.0,3.0,1.0,,0,280.0,22,1821.0,1,True,False,False,False,0.5315068493150685,150.0
775968020896070018,42.31971,-71.05937,Dorchester,2,0.0,1.0,1.0,3.0,2,21.0,25,3728.0,1,True,False,False,False,0.0,92.0
776039493275240855,42.35035,-71.0455,South Boston Waterfront,5,2.0,,,5.0,2,184.0,48,4069.0,1,True,False,False,False,1.0,
776171132229801192,42.3403176626284,-71.15183288177035,Brighton,4,2.0,1.0,2.0,4.0,3,60.0,44,5756.0,1,True,False,False,False,0.2410958904109589,137.0
776419658774901321,42.34925,-71.0841,Back Bay,7,3.0,5.0,2.5,4.85,26,2.0,47,2814.0,1,True,False,False,False,0.12054794520547946,1350.0
776610853880546976,42.3522851,-71.05910879999999,Chinatown,2,1.0,1.0,1.0,,0,5084.0,31,3233.0,1,True,False,False,False,0.20273972602739726,342.0
776971614888195449,42.36593455069983,-71.0355713888855,East Boston,2,1.0,2.0,1.0,5.0,10,2.0,51,2721.0,1,True,False,False,False,0.20821917808219179,180.0
777788877731506004,42.27778149851245,-71.1608659183274,West Roxbury,1,1.0,1.0,1.0,4.88,32,21.0,53,3466.0,1,False,False,True,False,0.27123287671232876,71.0
777800715043740407,42.27934864405998,-71.16129037469021,West Roxbury,2,1.0,2.0,1.0,5.0,41,21.0,53,3466.0,1,False,False,True,False,0.7534246575342466,127.0
778447421785771490,42.32835,-71.11039,Jamaica Plain,4,2.0,3.0,2.0,5.0,2,102.0,17,2861.0,1,True,False,False,False,0.0027397260273972603,528.0
778887634322331780,42.289678488923215,-71.08004640230429,Dorchester,4,2.0,2.0,1.0,4.94,49,2.0,38,1491.0,1,True,False,False,False,0.03561643835616438,225.0
779815225467352018,42.36024,-71.06741,Beacon Hill,2,1.0,1.0,1.0,5.0,4,280.0,28,1821.0,1,True,False,False,False,0.41643835616438357,117.0
779875059629800062,42.35824311593556,-71.06601636102484,Beacon Hill,3,2.0,2.0,1.0,4.2,5,280.0,27,1821.0,1,True,False,False,False,0.4383561643835616,95.0
780664602488325149,42.26668,-71.12718,Hyde Park,4,3.0,3.0,1.0,5.0,1,2.0,32,1753.0,1,True,False,False,False,0.0027397260273972603,168.0
780711147103807485,42.322700702865255,-71.09304891117581,Roxbury,9,3.0,5.0,2.5,4.63,40,1.0,60,2942.0,1,True,False,False,False,0.26301369863013696,300.0
781001738751122967,42.3650387,-71.0602864,Downtown,4,2.0,2.0,2.0,,0,5084.0,32,3233.0,1,True,False,False,False,0.23835616438356164,432.0
781057836995926888,42.34997,-71.09586,Fenway,2,0.0,1.0,1.0,4.95,132,32.0,51,3649.0,1,True,False,False,False,0.18082191780821918,184.0
781698350065782786,42.3504464,-71.06818659999999,Bay Village,2,1.0,1.0,1.0,,0,5084.0,32,3233.0,1,True,False,False,False,0.6821917808219178,395.0
782675110910637353,42.31948,-71.10599,Jamaica Plain,6,2.0,3.0,1.0,4.88,142,1.0,47,3283.0,1,True,False,False,False,0.136986301369863,242.0
783392236156546737,42.37175,-71.05956,Charlestown,4,1.0,1.0,1.5,4.85,13,8.0,16,3341.0,1,False,False,True,False,0.5643835616438356,336.0
786807008620011176,42.3522851,-71.05910879999999,Chinatown,2,1.0,1.0,1.0,,0,5084.0,31,3233.0,1,True,False,False,False,0.684931506849315,321.0
787547697386254974,42.3522851,-71.05910879999999,Chinatown,2,1.0,1.0,1.0,,0,5084.0,31,3233.0,1,True,False,False,False,0.9534246575342465,343.0
787569089132445733,42.34750371880735,-71.10035732780365,Fenway,4,2.0,,,4.33,3,102.0,26,2861.0,1,True,False,False,False,0.0136986301369863,
788431140364663238,42.346708771466666,-71.15158382803202,Brighton,6,3.0,3.0,1.5,5.0,3,2.0,34,5838.0,1,True,False,False,False,0.273972602739726,231.0
788926688853715289,42.29714,-71.08037,Dorchester,3,1.0,2.0,1.0,4.94,190,7.0,55,3847.0,1,True,False,False,False,0.07945205479452055,155.0
790042485512163978,42.2879258,-71.1399203,Roslindale,4,2.0,2.0,1.0,4.75,4,3.0,37,1033.0,1,False,False,True,False,0.030136986301369864,265.0
791467696621552585,42.35882959382679,-71.06726795707483,Beacon Hill,3,2.0,2.0,1.0,4.8,10,280.0,27,1821.0,1,True,False,False,False,0.42191780821917807,125.0
791873378629717247,42.365947,-71.063473,Downtown,2,0.0,1.0,1.0,,0,5084.0,34,3233.0,1,True,False,False,False,0.23013698630136986,244.0
793442721651271774,42.34846902477936,-71.06763537817953,Bay Village,8,4.0,7.0,3.5,,0,4.0,17,4810.0,1,True,False,False,False,0.1863013698630137,1614.0
794003883570818185,42.295936,-71.080832,Dorchester,7,3.0,4.0,3.0,4.92,205,7.0,54,3847.0,1,True,False,False,False,0.0684931506849315,358.0
794842805414477219,42.31651,-71.09984,Jamaica Plain,11,5.0,7.0,2.5,5.0,6,4.0,50,5078.0,1,True,False,False,False,0.863013698630137,719.0
794844467165235714,42.31785580190387,-71.09964724789793,Jamaica Plain,4,1.0,,,5.0,16,4.0,20,5078.0,1,True,False,False,False,1.0,
797634392623375373,42.3527433,-71.12187410000001,Allston,4,2.0,2.0,1.0,3.5,2,5084.0,32,3233.0,1,True,False,False,False,0.2493150684931507,346.0
797634833378646656,42.3527433,-71.12187410000001,Allston,4,2.0,,,,0,5084.0,33,3233.0,1,True,False,False,False,0.7643835616438356,
797635200084843258,42.3527433,-71.12187410000001,Allston,4,2.0,2.0,1.0,4.75,4,5084.0,33,3233.0,1,True,False,False,False,0.0,351.0
797740187346427325,42.3538601932737,-71.07630671621459,Back Bay,2,0.0,1.0,1.0,4.79,157,130.0,38,610.0,1,True,False,False,False,0.25205479452054796,289.0
798533622805798105,42.39019714924648,-71.00069295197193,East Boston,2,1.0,1.0,1.0,4.75,104,2.0,21,2698.0,1,True,False,False,False,0.9013698630136986,140.0
799785700040128099,42.25012042866413,-71.13245536960848,Hyde Park,4,2.0,2.0,1.0,5.0,1,21.0,25,4167.0,1,True,False,False,False,0.2821917808219178,139.0
802780781022731649,42.365947,-71.063473,Downtown,2,0.0,1.0,1.0,5.0,1,5084.0,33,3233.0,1,True,False,False,False,0.852054794520548,327.0
802781307558619461,42.3511858,-71.06401699999999,Downtown,4,2.0,2.0,2.0,,0,5084.0,31,3233.0,1,True,False,False,False,0.6821917808219178,387.0
803367130300649396,42.365947,-71.063473,Downtown,4,2.0,2.0,2.0,5.0,1,5084.0,32,3233.0,1,True,False,False,False,0.2465753424657534,452.0
803590050458462552,42.27776,-71.11733,Roslindale,6,3.0,3.0,1.0,4.5,10,12.0,19,4595.0,1,True,False,False,False,0.0027397260273972603,500.0
